"address","source_path","ghidra_name","original_name_status","signature","objective_verdict","code_sha256"
"1001d20b","src/functions/1001d20b.cpp","___BuildCatchObjectHelper","recognized-or-tool-label","char __cdecl ___BuildCatchObjectHelper(int param_1, int * param_2, uint * param_3, byte * param_4)","PASS","20d79d62389ab6710572ccb8f51bdf349dce6aa6968483d7a5cf9309ef174c03"
"1001d38a","src/functions/1001d38a.cpp","___BuildCatchObject","recognized-or-tool-label","undefined __cdecl ___BuildCatchObject(int param_1, int * param_2, uint * param_3, byte * param_4)","PASS","b2da676a6de74f6635d3f665c77d8c74afc2836d1125769be37e60c6ecd0310f"
"1001d41c","src/functions/1001d41c.cpp","CatchIt","recognized-or-tool-label","void __cdecl CatchIt(EHExceptionRecord * param_1, EHRegistrationNode * param_2, _CONTEXT * param_3, void * param_4, _s_FuncInfo * param_5, _s_HandlerType * param_6, _s_CatchableType * param_7, _s_TryBlockMapEntry * param_8, int param_9, EHRegistrationNode * param_10, uchar param_11)","PASS","77639726767e3e19823e311f3cf75cc2fb183c05de772036c1cf7c6cb36d0c99"
"1001d48a","src/functions/1001d48a.cpp","FindHandlerForForeignException","recognized-or-tool-label","void __cdecl FindHandlerForForeignException(EHExceptionRecord * param_1, EHRegistrationNode * param_2, _CONTEXT * param_3, void * param_4, _s_FuncInfo * param_5, int param_6, int param_7, EHRegistrationNode * param_8)","PASS","99222ebce32eef9c13b5f5de22fecc777a534decfa2aed596f52c30d48607b99"
"1001d591","src/functions/1001d591.cpp","FindHandler","recognized-or-tool-label","void __cdecl FindHandler(EHExceptionRecord * param_1, EHRegistrationNode * param_2, _CONTEXT * param_3, void * param_4, _s_FuncInfo * param_5, uchar param_6, int param_7, EHRegistrationNode * param_8)","PASS","63f5b0d35fec0e8d108385bf356240d3bb68877275767c8b49d6a53d253b9c3e"
"1001d906","src/functions/1001d906.cpp","FUN_1001d906","auto-generated-address-label","void * __thiscall FUN_1001d906(void * this, exception * param_1)","PASS","4f08508e9496ee0df3af16c3eeb0ff57f3b63bccdd0997e6406b0e8fa63f7601"
"1001d923","src/functions/1001d923.cpp","___InternalCxxFrameHandler","recognized-or-tool-label","undefined4 __cdecl ___InternalCxxFrameHandler(EHExceptionRecord * param_1, EHRegistrationNode * param_2, _CONTEXT * param_3, void * param_4, _s_FuncInfo * param_5, int param_6, EHRegistrationNode * param_7, uchar param_8)","PASS","1d5edd50ec5e3676d49a901af05976e897e6e1d7c365889d1f82eee43e96f2df"
"1001da10","src/functions/1001da10.cpp","__CallSettingFrame@12","recognized-or-tool-label","undefined __stdcall __CallSettingFrame@12(undefined4 param_1, undefined4 param_2, int param_3)","PASS","4b2dcb382c1b186af1162bf312e64aae612eeab3641942ceb325b2b85be1e01a"
"1001da5c","src/functions/1001da5c.cpp","FID_conflict:__atoflt_l","recognized-or-tool-label","int __cdecl FID_conflict:__atoflt_l(_CRT_FLOAT * _Result, char * _Str, _locale_t _Locale)","PASS","e82130fdc4bf0d33f4c9ea4f39751d6444f802570a83d4d51843da74312ec92f"
"1001db04","src/functions/1001db04.cpp","FID_conflict:__atoflt_l","recognized-or-tool-label","int __cdecl FID_conflict:__atoflt_l(_CRT_FLOAT * _Result, char * _Str, _locale_t _Locale)","PASS","45ea61fa6d91f0ed1a06095b65aa0cc857e7c5996fbbd409ca0e779d8d6ab749"
